Time,Country,GDP,HCI,Pop,CO2
2017,Italy,1950000000000,1,60536709, 
2017,Japan,4860000000000,1,126785797, 
2017,Mexico,1160000000000,1,124777324, 
2017,Russian Federation,1580000000000,1,144496740, 
2017,Saudi Arabia,689000000000,1,33099147, 
2017,South Africa,349000000000,0,57000451, 
2017,Turkey,852000000000,1,81101892, 
2017,United Kingdom,2640000000000,1,66058859, 
2017,United States,19500000000000,1,325147121, 
2018,Argentina,518000000000, ,44494502, 
2018,Australia,1430000000000, ,24992369, 
2018,Brazil,1870000000000, ,209469333, 
2018,Canada,1710000000000, ,37058856, 
2018,China,13600000000000, ,1392730000, 
2018,France,2780000000000, ,66987244, 
2018,Germany,4000000000000, ,82927922, 
2018,India,2730000000000, ,1352617328, 
2018,Indonesia,1040000000000, ,267663435, 
2018,Italy,2070000000000, ,60431283, 
2018,Japan,4970000000000, ,126529100, 
2018,Mexico,1220000000000, ,126190788, 
2018,Russian Federation,1660000000000, ,144478050, 
2018,Saudi Arabia,782000000000, ,33699947, 
2018,South Africa,366000000000, ,57779622, 
2018,Turkey,767000000000, ,82319724, 
2018,United Kingdom,2830000000000, ,66488991, 
2018,United States,20500000000000, ,327167434, 
